Channels,Time Slot,Week Days,All Individuals,Dettol TG,18-45_Male_Female,Males ,Females,RPM,CPRP,Timeband
EXPRESS ENT,12:30 - 13:00,Saturday,0.15,0.32,0.18,0.13,0.17,"4,675","7,305",Afternoon
EXPRESS ENT,13:00 - 13:30,Sunday,0.49,0.83,0.55,0.32,0.66,"4,675","2,816",Afternoon
EXPRESS ENT,13:00 - 13:30,Monday,0.38,0.55,0.45,0.25,0.52,"4,675","4,250",Afternoon
EXPRESS ENT,13:00 - 13:30,Tuesday,0.41,0.86,0.5,0.21,0.62,"4,675","2,718",Afternoon
EXPRESS ENT,13:00 - 13:30,Wednesday,0.38,0.64,0.43,0.24,0.52,"4,675","3,652",Afternoon
EXPRESS ENT,13:00 - 13:30,Thursday,0.43,0.6,0.46,0.34,0.51,"4,675","3,896",Afternoon
EXPRESS ENT,13:00 - 13:30,Friday,0.39,0.74,0.46,0.25,0.54,"4,675","3,159",Afternoon
EXPRESS ENT,13:00 - 13:30,Saturday,0.4,0.72,0.43,0.33,0.48,"4,675","3,247",Afternoon
EXPRESS ENT,13:30 - 14:00,Sunday,0.27,0.57,0.33,0.16,0.38,"4,675","4,101",Afternoon
EXPRESS ENT,13:30 - 14:00,Monday,0.23,0.43,0.28,0.14,0.32,"4,675","5,436",Afternoon
EXPRESS ENT,13:30 - 14:00,Tuesday,0.27,0.7,0.33,0.16,0.39,"4,675","3,339",Afternoon
EXPRESS ENT,13:30 - 14:00,Wednesday,0.28,0.48,0.34,0.17,0.39,"4,675","4,870",Afternoon
EXPRESS ENT,13:30 - 14:00,Thursday,0.27,0.37,0.31,0.23,0.32,"4,675","6,318",Afternoon
EXPRESS ENT,13:30 - 14:00,Friday,0.29,0.56,0.33,0.2,0.37,"4,675","4,174",Afternoon
EXPRESS ENT,13:30 - 14:00,Saturday,0.31,0.7,0.38,0.22,0.41,"4,675","3,339",Afternoon
EXPRESS ENT,14:00 - 14:30,Sunday,0.22,0.36,0.26,0.14,0.31,"4,675","6,493",Afternoon
EXPRESS ENT,14:00 - 14:30,Monday,0.22,0.32,0.26,0.14,0.31,"4,675","7,305",Afternoon
EXPRESS ENT,14:00 - 14:30,Tuesday,0.25,0.47,0.3,0.16,0.34,"4,675","4,973",Afternoon
EXPRESS ENT,14:00 - 14:30,Wednesday,0.21,0.28,0.24,0.14,0.28,"4,675","8,348",Afternoon
EXPRESS ENT,14:00 - 14:30,Thursday,0.21,0.19,0.22,0.16,0.26,"4,675","12,303",Afternoon
EXPRESS ENT,14:00 - 14:30,Friday,0.17,0.29,0.19,0.12,0.22,"4,675","8,060",Afternoon
